ID_Kind	A5_S_METHYL_5_THIOADENOSINE	ENDOGENOUS_BIOMOLECULE_146_	ENDOGENOUS_BIOMOLECULE_285_2_	GLUTAMIC_ACID_ARTIFACT_H2O_	NICOTINURIC_ACID	OCTANOYLCARNITINE	PHENYLALANINE	RIBOFLAVIN	TRYPTOPHAN
C1	15334.99584	17396.50873	69956.77473	18799.6675		68872.81796	8596.84123	159165.4198	5665.835411
C2		10711.19473	86344.30856	84650.98777	246223.8946	14062.08843	40692.38006		5439.322672
C3	83054.18719	12502.46305	139259.1133	35111.33005		35548.76847	14819.70443		13020.68966
C4		10019.70865	88435.3042	28574.97858	33044.5587	9575.835476	22840.61697	14569.83719	
C5	23461.29032	9977.419355	9375.806452	44214.51613	37438.70968	17012.90323	13524.19355	84856.45161	3603.225806
C6			2576.204523	7232.055064	1849.557522	9626.352016	6549.655851		11992.13373
C7		8999.041227	27043.14477	14013.42282		25582.93384	9162.032598	127943.4324	3077.660594
C8	20430.17657	14064.20546	18990.90423	14857.14286	14516.85393	23775.2809	8802.568218	29371.85661	7593.365436
C9	74771.11486	27179.05405	27443.41216	8244.932432	14113.17568	52080.23649			2322.635135
C10	20360.33188	6173.054129	27468.98459	31472.9356		7192.414066	22530.22521		4354.010273
C11	42757.97101	3440.57971	15340.57971	30547.82609	22766.66667	13782.6087	17084.05797		1323.188406
C12	46414.35563	24156.60685	91588.90701	31784.66558	102783.0343	44972.26754	19533.44209		25605.22023
C13	7267.226891	9061.064426	50549.01961	56975.91036	42059.38375	110387.6751	29304.20168	18657.70308	7840.896359
C14	46337.35943	12505.62266	115293.6277	104054.9771	18000	15546.85548	15296.12661	11860.05831	4793.835902
C15	135349.4267	26776.10139	41646.34882	30624.01931		9361.496681	25045.26252	4086.904043	6407.966204
C16									
C17		20513.53712	147296.0699	16950.21834		18620.08734			2667.248908
C18	50244.74187	12604.2065	175342.2562	238994.2639		24768.64245		286898.6616	3204.58891
C19		10991.4997	67072.85974	18470.55252	13353.97693	23902.85367	12544.01943	85691.56041	2947.176685
C20	22483.46457	2844.094488	50924.40945	36121.25984	70201.5748	14518.11024			4217.322835
C21	19762.60504	11203.78151	78647.05882	30787.81513		59466.38655	56464.28571		9815.12605
C22	51789.76819		58627.498	13215.02798	2870.503597	22923.26139	6160.671463	123008.793	5193.445244
C23	36844.27032	683.6434868	63138.0999	54432.90891	35539.66699	48673.84917	7198.824682		2838.393732
C24	39213.07862	12764.14401	22500.36738	68032.32917	215373.255	38375.45922	30040.41146	177972.8141	1419.544453
C25		11158.42839	23494.29658	10680.60837		8381.495564	5112.801014		12392.90241
C26	123640.3191	23537.3459	129627.2661	40107.32415		25560.55112	32813.63307		4681.653372
C27	113692.7536	2769.082126	59804.83092	4212.560386	113829.9517	74146.8599			11839.61353
C28	113692.7536	2769.082126	59804.83092	4212.560386	113829.9517	74146.8599			11839.61353
C29									
C30	42515.8371	12991.59664	124074.9838	125278.6037	30561.08597	42522.30123	19190.69166		8888.170653
C31	75424.50142	16631.05413	91538.46154	96732.19373		28843.30484	18831.90883	77226.49573	6994.301994
C32		14046.72897	96723.87426	45857.26423	14939.67715	19805.43755	16681.39337	189636.3636	5792.693288
C33	51952.21546	1457.862728	129486.5334	14501.30321	22185.92528	54311.03388	7221.546481	107640.3128	4626.411816
C34	44779.07173	7875.105485	75926.07595	87385.99156	50503.62869	16121.18143		174359.4937	4400.337553
C35	75886.54781	15020.25932	86124.79741	37525.12156		10632.90113	36465.15397	266118.3144	3239.87034
C36			71668.69919	74369.24119	4032.520325	13243.90244	10491.86992		4426.829268
C37		11522.32692	54559.60672	148510.4465	6725.931995	22921.75338	35950.02048	89463.3347	5559.19705
C38	124143.2532	9370.609982	103151.5712	24260.62847	68733.82625	39671.90388	13728.28096		7868.761553
C39		7170.67635	26777.12211	19424.87517	47548.34317	24042.21516		121669.0876	1857.46709
C40		11151.29903	30050.94244	118950.5858	11120.73357	55060.6215	13890.98319		4417.727967
