probeID	BETA	SE	P_VAL	FDR	DeltaMeth	N	Outlying	Skewed	Clumpy	Sparse	Striated	Convex	Skinny	Stringy	Monotonic
cg26565406	3.95635731117902e-08	8.48562913179e-09	3.12511486298212e-06	0.978325367651056	0.0398496798915418	393	0.0622083825767954	0.652975810650202	0.0274446742425552	0.0478136234729224	0.169172932330827	0.439481120237874	0.616516150908695	0.47710334939062	0.0363436572335829
cg09622432	1.80542632907604e-07	3.99674504495786e-08	6.2650386513186e-06	0.978325367651056	0.116020469390361	393	0.100313214727622	0.679292827326326	0.0217445598848824	0.0503688637437369	0.17910447761194	0.483504095675472	0.655814920846838	0.44815062134731	0.0195515662085823
cg13885609	1.36757127152474e-07	3.03623874842491e-08	6.66352043570465e-06	0.978325367651056	0.217967290715941	392	0.158939592807946	0.669997487190554	0.118491211971794	0.0457281199104027	0.162162162162162	0.34515396862354	0.493744012962479	0.415731286545465	0.0119150343933074
cg16440331	8.02725944190915e-08	1.80949814391591e-08	9.15692967346407e-06	0.978325367651056	0.0951365627611065	391	0.16985415728341	0.722694432243341	0.190663494082538	0.0530290571490685	0.171875	0.500392935949021	0.539764557686987	0.466583943935811	0.0073309384101593
cg07881065	1.01535928181778e-07	2.33451613369096e-08	1.36550956419526e-05	0.978325367651056	0.134637782617369	391	0.133392353535161	0.71775415139012	0.0316903884873803	0.050386547021905	0.158490566037736	0.39170941908757	0.663796397102124	0.499768441478917	0.0114016524160747
cg23039636	7.70004964955072e-08	1.77236101011586e-08	1.39583470885442e-05	0.978325367651056	0.0915715885253848	393	0.203906965273561	0.743470982726448	0.0215245138345105	0.0512407492156401	0.185770750988142	0.424025099248979	0.549147317838375	0.466583943935811	0.0154401628951808
cg23241950	-7.10334921923764e-08	1.63730256841423e-08	1.43493555568775e-05	0.978325367651056	0.127312404956938	393	0.0361823999578212	0.670068029432789	0.0442716869580861	0.053493908387728	0.1985559566787	0.416881763342233	0.702477419993123	0.486824296296296	0.0141216924425931
cg03565241	-1.84164230182207e-07	4.31401065611735e-08	1.9636932060626e-05	0.978325367651056	-0.186164262741666	393	0.119927217383468	0.675279206939606	0.02668151781724	0.0506869452127917	0.163498098859316	0.486150803327082	0.560625806125561	0.409706289860139	0.0451603932576687
cg05098381	1.07829445245336e-07	2.573303100016e-08	2.78570348442739e-05	0.978325367651056	-0.131805207216059	390	0.160237576888875	0.715378757462439	0.0543154619759161	0.0527833600472022	0.130952380952381	0.476030218822573	0.594618551569852	0.411363653955746	0.001530819811169
cg25513173	-2.27698012979061e-08	5.49043303171845e-09	3.36598849849079e-05	0.978325367651056	0.0153423718505537	393	0.124121542773733	0.689331011932767	0.0268425424029381	0.0576555110048271	0.197761194029851	0.44684330299915	0.573381325442856	0.484454502083552	0.0322037212787298
