PROBEID	BETA	SE	P_VAL	FDR	DeltaMeth	N	Outlying	Skewed	Clumpy	Sparse	Striated	Convex	Skinny	Stringy	Monotonic
cg00952977					NaN		0	0.60246079234107	0.472119180117254	0.391440659772845	0	5.01945962077161E-02	0.369767942933012	0.343	0.127026987296783
cg01215511					NaN		0	0.617278306746103	0.423921595336881	0.377791037616082	0	2.11123664704072E-02	0.415993983200603	0.244140625	0.1037877922328
cg02732193					NaN		0	0.54737532324441	0.277154946465386	0.311219957707043	0.333333333333333	0	1	0.578703703703704	0.178289809569999
cg04915494					NaN		0	0.726812579459118	0.486795957938009	0.483154416470416	7.14285714285714E-02	2.36228063038259E-02	0.407158922158559	0.77025462962963	2.32591004308249E-02
cg05185519					NaN		0	0.550075273875238	0.335828414264453	0.290349039770726	0.266666666666667	1.42374765291563E-02	0.261991833318652	0.786527082385071	0.31293469388441
cg06812612					NaN		0	0.710423973503358	0.480814289033704	0.364462516078729	6.66666666666667E-02	3.23594931920725E-02	0.479720372038959	0.578703703703704	0.196998167305029
cg07474076					NaN		0	0.593179165606569	0.152452213993883	0.330891381892837	0.142857142857143	5.3378697695318E-03	0.401068439846489	0.54770848985725	0.326638419873567
cg08534175					NaN		0	0.596946300679577	0.342925263382318	0.351623802201228	6.66666666666667E-02	1.70917947107519E-02	0.238552454833827	0.216	0.136126198941154
cg08690664					NaN		0	0.424358617326491	0.227781754625716	0.37264694272531	0.2	0	1	0.578703703703704	1.68575945425949E-02
cg26906639					NaN		0.174701912705033	0.801943410744573	0.504991616623854	0.375291051199625	0.285714285714286	2.38116888554647E-02	0.323575173737696	0.54770848985725	0.228673854135765
