CpG	Location	Chr	Pos	Gene	Type	Beta	SE	P	Details	StudyID
cg06812612	chr16:2962430	16	2962430	FLYWCH1	Island	0.00799	0.0013	0.00000000132	-	23334450_rheumatoid_arthritis
cg04915494	chr16:2962968	16	2962968	FLYWCH1	South shore	-0.000386	0.000111	0.000527	-	27717397_gestational_age_last_menstrual_periodestimated_gestational_age
cg26906639	chr16:2963569	16	2963569	FLYWCH1	South shore	-0.00064	0.00013	0.0000021	NA	33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect
cg08534175	chr16:2964815	16	2964815	FLYWCH1	South shelf	0.28186	0.01259	1.6E-55	NA	30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells
cg05185519	chr16:2972941	16	2972941	FLYWCH1	Open sea	-0.0037	0.0002	0	NA	33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect
cg07474076	chr16:2972993	16	2972993	FLYWCH1	Open sea	-1.974902	0.2376	9.52E-17	-	27105112_hiv_infection_discovery
cg08690664	chr16:2974781	16	2974781	FLYWCH1	Open sea	0.3552	0.00551	1.6E-132	NA	30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells
cg01215511	chr16:2975552	16	2975552	FLYWCH1	Open sea	NA	NA	3.53E-123	-	28056824_age_4_vs_age_0
cg02732193	chr16:2977125	16	2977125	FLYWCH1	Open sea	0.00587	0.0011	0.00000028	NA	30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells
cg00952977	chr16:2977200	16	2977200	FLYWCH1	Open sea	NA	NA	0.000224	-	28785368_attention_deficit_hyperactivity_disorder_longterm_prenatal_exposure_to_paracetamol_versus_controls
