probeID	BETA	SE	P_VAL	FDR	DeltaMeth	N	Outlying	Skewed	Clumpy	Sparse	Striated	Convex	Skinny	Stringy	Monotonic
cg05504279	-2.18007350133373e-07	3.85785884832905e-08	1.59523187670969e-08	0.0027225981962992	0.163036385463052	180	0.0235388588017553	0.662827699999089	0.0492467817674036	0.0833425394558256	0.230769230769231	0.495896236459619	0.550805556480506	0.437122044688411	0.0300460520281385
cg19581424	-1.55247230472711e-07	2.96250489355354e-08	1.60225263252388e-07	0.0136729029522742	0.072317294399785	182	0.11773540206983	0.679788393720062	0.0329186877176975	0.0859791756369773	0.266666666666667	0.628040955980875	0.431480518660026	0.527514112	0.0279422627968756
cg08333778	1.15042288969717e-07	2.41096465525312e-08	1.82741869053993e-06	0.0975892152144446	0.05986194927344	182	0.106378951230942	0.694460948292229	0.041095422292682	0.0923940516118503	0.255172413793103	0.62595794509725	0.462661218576245	0.455166135639508	0.00520007454290324
cg17886164	-6.80566397073063e-08	1.44958385219722e-08	2.66725708395799e-06	0.0975892152144446	0.0362746920828786	182	0.0308252910716391	0.64618836398628	0.0414909287357153	0.0832839207011073	0.269230769230769	0.444176183126095	0.63388226331358	0.488189952757858	0.0421151701416334
cg25592907	6.6324087971836e-07	1.41696977390639e-07	2.8589864480329e-06	0.0975892152144446	-0.247000933285623	182	0.0520769322669128	0.681597995027617	0.0539421718986689	0.075694055024406	0.213333333333333	0.478613959014191	0.617234763930024	0.454038556956266	0.00313106866251156
cg01082798	1.75826792003178e-07	3.87186442355444e-08	5.59508062276096e-06	0.1570324518728	0.0709845124876134	182	0.0457893398070163	0.708911677315912	0.0322637955347768	0.100410054420041	0.23972602739726	0.722986472198816	0.351340750514456	0.473933556984891	0.0546094160866531
cg10804254	1.28189271500462e-07	2.85099293737832e-08	6.91452911486477e-06	0.1570324518728	0.121604661588053	180	0.0854858800001107	0.697336482930106	0.036467897707598	0.0867143112213805	0.161971830985915	0.460294796741356	0.499504311971448	0.45997418908922	0.0132446489056419
cg15139163	1.68854569647153e-07	3.76656797788353e-08	7.3607092885282e-06	0.1570324518728	0.0983354594880215	182	0.226293723499636	0.724384613116822	0.0872014789392906	0.0922124910729751	0.260869565217391	0.450521995254543	0.497171305418055	0.48149171816082	0.0255177414062057
cg09447895	-1.43401947243872e-07	3.23624463271143e-08	9.37440381870313e-06	0.169327706998477	0.114837494661832	179	0.071543698932054	0.723511026406704	0.0594097799463299	0.0848690346582407	0.261744966442953	0.521272017793079	0.466131446881081	0.499410406980059	0.0166250761058357
cg23904955	3.40122306439746e-07	7.78459592015961e-08	1.24719087712047e-05	0.169327706998477	-0.142919139815941	182	0.125787185925087	0.671715885432417	0.12440054438745	0.0743224811907632	0.333333333333333	0.272994253651295	0.65932305105079	0.634670257568359	0.0519096092635643
