probeID	BETA	SE	P_VAL	FDR	DeltaMeth	N	Outlying	Skewed	Clumpy	Sparse	Striated	Convex	Skinny	Stringy	Monotonic
cg00952977	-7.93399744763615E-09	1.43444022022222E-08	0.580189753270131	0.999004195063761	0.03158127107994	414	0.172936918299249	0.672485607868359	0.036540933001759	4.47683642555796E-02	0.171102661596958	0.425917775509254	0.597267401314606	0.461015415165387	2.58833808968899E-02
cg01215511	6.5149201273556E-08	1.36128224999029E-07	0.632232455588939	0.999004195063761	0.171413407015011	414	8.99576856184089E-02	0.665358885909888	0.031297010945805	4.70026826225116E-02	0.178694158075601	0.451966025751175	0.656024113835046	0.523187954013438	4.23278285836794E-03
cg02732193	1.0065624551546E-08	1.43245157996958E-08	0.482251983335165	0.999004195063761	3.20565614916078E-02	414	0.136021989877845	0.680131239251763	3.09996007317155E-02	4.66074182879757E-02	0.182758620689655	0.392828104626862	0.606303023851438	0.44986671281156	2.34366771794103E-02
cg04915494	1.19477264602365E-08	7.01992034561754E-08	0.864854845417891	0.999004195063761	-0.203371710240457	414	0.138681157991844	0.644238093663236	7.18614058729785E-02	4.66074182879757E-02	0.214285714285714	0.381065379494076	0.617645540892405	0.451127929949021	6.85650262514823E-05
cg05185519	-6.70047805376476E-08	4.44860489753083E-08	0.132016453428224	0.999004195063761	0.130224168935574	414	5.48547071861479E-02	0.680549653174268	3.29156951768321E-02	4.39077717920834E-02	0.149090909090909	0.500759963254797	0.628935736251463	0.410369960827132	0.166373572712166
cg06812612	1.85390298919262E-09	1.51235336665435E-08	0.902436538734772	0.999122506753799	4.29672815455897E-02	414	0.173806285817039	0.675000616390533	0.022922175081713	4.32354938431627E-02	0.159851301115242	0.339706150632461	0.672039827924143	0.398443010001545	7.14538172998364E-02
cg07474076	-2.2173926871425E-08	4.17885803527676E-08	0.59568096639144	0.999004195063761	0.206984853327085	414	6.37723830879829E-02	0.671397143294112	3.50440816794287E-02	5.06800516506654E-02	0.200716845878136	0.456373676547943	0.640131810246658	0.517069270301793	0.237017928618779
cg08534175	-3.66589996850324E-08	7.67760230578234E-08	0.63302050579834	0.999004195063761	0.140859320362071	414	0.095680334984094	0.741748484060296	2.14017595424849E-02	5.06800516506654E-02	0.163701067615658	0.366065793295775	0.540409428537452	0.475833994805419	6.86474705472226E-02
cg08690664	1.55184856295179E-08	2.58395719126498E-08	0.548126065372673	0.999004195063761	0.112991047258608	414	5.07315190528532E-02	0.700735486594536	9.75158522188574E-02	4.83208081514589E-02	0.177304964539007	0.475217407281253	0.511417879102769	0.405076681533192	7.53587944427454E-02
cg26906639	1.0262378782937E-08	1.58294685657341E-08	0.516785447206599	0.999004195063761	0.063098206390374	414	0.113106841963124	0.699783543280223	2.53251587505741E-02	5.00525528584738E-02	0.154411764705882	0.487198460652025	0.483221456853448	0.433593089421164	0.133003415075698
