PROBEID	BETA	SE	P_VAL	FDR	DeltaMeth	N	Outlying	Skewed	Clumpy	Sparse	Striated	Convex	Skinny	Stringy	Monotonic
cg00952977					NaN		0	0.75026144084154	0.294258145481908	0.367906162620007	7.69230769230769E-02	8.42115422354612E-03	0.332440830656519	0.512	4.12576505463586E-02
cg01215511					NaN		0	0.609579878723518	0.428269629313994	0.291921230892197	7.69230769230769E-02	2.04700539093565E-02	0.149743453077151	0.512	0.154273169009353
cg02732193					NaN		0	0.753459051507678	0.221017594496995	0.426486608875675	7.14285714285714E-02	2.78429041323702E-02	0.464969790910068	0.343	1.35978853653163E-02
cg04915494					NaN		0	0.771006397762518	0.213206997556521	0.406000040126718	0.153846153846154	0	1	0.751314800901578	0.03694416639818
cg05185519					NaN		0	0.559401094659708	0.3924552841417	0.282357874474188	0.142857142857143	2.33239119797589E-02	0.235506753731232	0.54770848985725	0.37867062224314
cg06812612					NaN		0	0.431290577501691	0.350448431122847	0.287929252408502	0.214285714285714	0.030235152081823	0.121966020391884	0.54770848985725	2.01232822874216E-02
cg07474076					NaN		0	0.79297289453845	0.329248643767012	0.586428500972702	7.69230769230769E-02	6.43532911035909E-03	0.582641067548573	0.751314800901578	0.20736945567847
cg08534175					NaN		0.199532953345846	0.805363708940492	0.322265223452623	0.580089112190526	0	3.57908237263666E-03	0.284063793415919	0.512	0.203466098400005
cg08690664					NaN		0.19923196572627	0.767452798759848	0.352604784463329	0.553804536124917	0	9.70783451650534E-03	0.581316251685941	0.512	0.282327211816434
cg26906639					NaN		0	0.607239326145889	0.228815823204788	0.42550943221647	7.69230769230769E-02	0	1	0.470507544581619	0.071249757442056
